NOMBRE,EQUIPO,MJ,PJ,%PJ,PC,%PC,PT,%PT,PS,%PS,TA,TR,SA,G,PR,GPP,GE
BORJA DELERAS,RO CELTA,1510,28,100,1,3.57,19,64.29,17,60.71,2,0,0,5,2,0,22
BRIAN OLIVÁN,ROI ESPANYOL DE B.L.,1017,17,62.96,7,41.81,12,44.44,5,18.52,2,0,0,0,0,16,
CAINES ALERA,DEPORTIVO ALAVÉS,908,15,53.57,4,26.67,10,35.71,6,21.43,2,0,0,0,0,10,
CANELES FÉREZ,GETAPE OF,1984,22,78.57,4,18.58,14,50,10,35.71,2,0,0,2,0,15,
CARLOS BENAVÍDEZ,DEPORTIVO ALAVÉS,342,11,32.09,1,0,5,17.86,4,14.29,2,0,0,1,0,10,
CARLOS MARTÍN,DEPORTIVO ALAVÉS,107.4,12,67.96,1,5.36,12,46.43,12,42.86,2,0,0,2,0,12,
CONOR GALLAGHER,ATLÉTICO DE MADRID,118,22,78.57,4,18.58,12,46.44,9,32.34,2,0,0,2,0,14,
CRISTHAM MORQUEBA,GIBIONA FC,548,22,78.57,0,0,1,3.57,1,3.57,2,0,0,6,0,8,
D’COLLUMÉBANDO,SEVILLA FC,2346,28,100,18,57.14,27,98.45,11,20.29,2,0,0,1,0,34,
DALET ELRIO,GIBIONA FC,1879,24,85.71,10,73.77,21,75,2,7.14,2,0,0,0,0,27,
DANI CARAGUEL,REAL MADRID,609,8,28.57,5,62.5,7,25,2,7.14,2,0,0,1,0,0,3
DARIO BRASAMAC,COLESAMÉS,1300,23,82.94,4,17.29,14,50,10,35.71,2,0,0,1,1,0,26
DARVIVAAN,ATNELTIC CLUB,1944,25,82.94,21,91,21,75,0,0,2,0,0,3,0,0,10
DERGO CONDE,VILLABREAL CF,1972,22,61.68,21,95.46,22,81.48,1,2.7,2,0,0,0,0,28,
DESCO LOYEZ,VALENCIA CF,2005,28,100,7,25,25,89.2,18,64.2,2,0,0,6,1,0,34
EOER GABRIEL MILITÃO,REAL MADRID,940,12,42.86,9,75,11,39.29,2,7.14,2,0,1,0,0,9,
FRAN BELTRÁN,RC DELTA,1778,24,95.71,10,41.67,21,75,11,39.29,2,0,0,0,25,,
FRANCISCO JORGE TA...,ROO MALLORCA,141,6,28.57,0,0,1,3.57,1,3.57,2,0,0,0,0,2,
FRENNE DE JOHG,FC BARCELONA,592,15,55.56,0,0,4,14.81,4,14.81,2,0,0,0,9,,
GERARIO MARITIN,FORMACELONA,500,17,62.96,2,11.76,5,18.52,3,11.1,2,0,1,0,0,7,
GORKA GURIZETA,ATLÉTICO CLUB,1056,27,96.45,3,11.1,15,53.57,12,42.86,2,0,0,6,0,0,12
